lang,rare_mode,phoneme_id,phoneme,phoneme_len,target,predict,probabilities,phoneme_loss
ger_n,drop,854,g a l o p p,6,7,1,0.301669418811798,1.728959441185
ger_n,drop,1259,i n d i g o,6,7,7,0.759415924549103,0.397037774324417
ger_n,drop,3562,t r a p p i s t,8,2,1,0.080050744116306,3.64294052124023
ger_n,drop,3367,s t r a h l,6,11,5,0.006454379297793,7.27550601959229
ger_n,drop,273,b a l g,4,12,5,0.035145454108715,4.83051824569702
ger_n,drop,1256,i m m o b i l i e,9,0,4,0.006907990667969,7.17751836776733
ger_n,drop,1089,h a r f e,5,4,4,0.980555236339569,0.028328981250525
ger_n,drop,2752,r a b a t t,6,1,1,0.441168338060379,1.18059861660004
ger_n,drop,2462,p a m p a,5,14,10,0.300817847251892,1.73303782939911
ger_n,drop,2068,m a r o n e,6,4,4,0.984136700630188,0.023069065064192
ger_n,drop,2970,s c h a f o t t,8,1,1,0.559254825115204,0.838422298431397
ger_n,drop,131,a n i s,4,0,3,0.183640152215958,2.44504642486572
ger_n,drop,2796,r a u p e,5,4,4,0.978581249713898,0.031236177310348
ger_n,drop,2422,o p e r,4,4,4,0.77201920747757,0.373291105031967
ger_n,drop,2455,p a g i n a,6,14,10,0.239835754036903,2.05988168716431
ger_n,drop,2244,m o r d,4,1,1,0.72192656993866,0.470076054334641
ger_n,drop,2748,q u e u e,5,14,4,0.001152594573796,9.76089859008789
ger_n,drop,1445,k a r r e n,6,1,1,0.652855157852173,0.615165054798126
ger_n,drop,2194,m i s s i l e,7,7,4,0.07550959289074,3.72719621658325
ger_n,drop,1671,k o n f l i k t,8,1,1,0.613162875175476,0.70565789937973
ger_n,drop,1155,h i n d e,5,4,4,0.985528290271759,0.02103072591126
ger_n,drop,970,g i t a r r e,7,4,4,0.957712113857269,0.062336143106222
ger_n,drop,1270,i n h a l t,6,1,1,0.541714012622833,0.88439667224884
ger_n,drop,65,a l k a l d e,7,2,2,0.566724181175232,0.819281339645386
